subset,class,spec,hero_talent,role,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level,gear_known,pct_no_set,pct_2set,pct_4set,avg_player_rating
timed,Hunter,Marksmanship,Dark Ranger,DPS,99,99,50,154750,153970,224484,0.61,63.6,297.3,2,50.0,0.0,50.0,2935.0
timed,Hunter,Marksmanship,Sentinel,DPS,6313,6210,2399,186564,191031,238969,0.46,66.7,301.3,331,27.5,15.7,56.8,2854.0
timed,Hunter,Marksmanship,Unknown,DPS,223,218,152,181364,182872,239039,0.45,69.5,300.2,0,,,,2862.0
timed,Hunter,Survival,Pack Leader,DPS,447,445,267,161505,159258,222138,0.47,67.1,297.5,36,50.0,19.4,30.6,2965.0
timed,Hunter,Survival,Sentinel,DPS,930,926,520,157262,157277,212415,0.4,68.9,298.7,61,37.7,19.7,42.6,2961.0
timed,Hunter,Survival,Unknown,DPS,57,56,47,150533,144605,213175,0.3,77.2,294.9,0,,,,2869.0
timed,Mage,Arcane,Spellslinger,DPS,298,298,188,168490,171714,239858,0.52,63.4,297.5,11,72.7,18.2,9.1,3141.0
timed,Mage,Arcane,Sunfury,DPS,42514,40717,13931,202888,206769,262502,0.48,64.9,302.2,2235,25.7,32.7,41.6,2972.0
timed,Mage,Arcane,Unknown,DPS,1426,1352,959,200617,205702,264940,0.52,61.6,301.5,0,,,,2953.0
timed,Mage,Fire,Frostfire,DPS,22,22,16,94034,77810,144949,0.23,81.8,290.0,2,50.0,0.0,50.0,
timed,Mage,Fire,Sunfury,DPS,641,641,338,181890,187526,248659,0.31,78.5,296.6,23,65.2,8.7,26.1,2854.0
timed,Mage,Fire,Unknown,DPS,28,28,20,201471,216454,262606,0.36,75.0,298.0,0,,,,
timed,Mage,Frost,Frostfire,DPS,212,212,159,130094,116372,210725,0.37,69.3,296.4,10,80.0,0.0,20.0,2812.0
timed,Mage,Frost,Spellslinger,DPS,1219,1210,908,137325,133704,190400,0.47,68.3,294.5,66,72.7,24.2,3.0,2770.0
timed,Mage,Frost,Unknown,DPS,56,56,50,138331,138374,194451,0.46,67.9,294.1,0,,,,2802.0
timed,Monk,Brewmaster,Master of Harmony,Tank,3381,3381,1203,98466,98459,128278,0.16,86.7,299.6,170,52.4,20.0,27.6,3091.0
timed,Monk,Brewmaster,Shado-Pan,Tank,1185,1185,682,84206,83988,114879,0.26,79.6,296.9,54,48.1,38.9,13.0,2839.0
timed,Monk,Brewmaster,Unknown,Tank,166,166,118,91834,94702,118436,0.19,84.3,298.4,0,,,,2896.0
timed,Monk,Mistweaver,Conduit of the Celestials,Healer,7520,7520,3169,42634,43076,56430,0.36,72.1,298.0,417,60.4,25.2,14.4,2906.0
timed,Monk,Mistweaver,Master of Harmony,Healer,229,229,142,34733,34989,51746,0.23,81.7,296.7,9,44.4,33.3,22.2,3012.0
timed,Monk,Mistweaver,Unknown,Healer,271,271,208,42116,43130,56875,0.41,67.9,297.4,0,,,,2900.0
timed,Monk,Windwalker,Conduit of the Celestials,DPS,1190,1189,485,202601,208628,272019,0.57,60.9,303.4,67,11.9,1.5,86.6,2996.0
timed,Monk,Windwalker,Shado-Pan,DPS,5665,5642,2505,174379,175708,234921,0.5,64.2,300.0,355,40.8,29.9,29.3,2890.0
timed,Monk,Windwalker,Unknown,DPS,206,205,151,181049,183715,244923,0.45,67.5,300.6,0,,,,3069.0
timed,Paladin,Holy,Herald of the Sun,Healer,19046,19041,7792,19148,18260,29912,0.42,68.1,299.0,1047,42.8,43.2,14.0,2961.0
timed,Paladin,Holy,Lightsmith,Healer,7084,7083,2354,42553,41968,61623,0.44,66.9,302.6,251,25.9,33.5,40.6,2935.0
timed,Paladin,Holy,Unknown,Healer,927,927,661,26924,22577,49722,0.49,66.2,299.5,0,,,,3013.0
timed,Paladin,Protection,Lightsmith,Tank,13005,13005,5139,100171,100503,130569,0.13,88.8,299.5,608,50.3,34.7,15.0,2997.0
timed,Paladin,Protection,Templar,Tank,3549,3549,1947,85852,85683,117057,0.11,90.3,296.6,198,63.6,19.2,17.2,2814.0
timed,Paladin,Protection,Unknown,Tank,526,526,379,96339,96484,129376,0.14,87.6,298.9,0,,,,3035.0
timed,Paladin,Retribution,Herald of the Sun,DPS,5850,5764,2530,204976,209111,260015,0.52,63.1,303.2,416,28.8,34.6,36.5,2968.0
